Time UNIX Seconds,Time Stamp,Symbol,High,Low,Open,Previous Close,Recommend Period,Strong Buy,Buy,Hold,Sell,Strong Sell
1731076200,Fri Nov  8 09:30:00 2024,COLDF,0.15,0.15,0.15,0.15,2021-12-01,1,3,1,0,0
1731076200,Fri Nov  8 09:30:00 2024,COLDF,0.15,0.15,0.15,0.15,2021-12-01,1,3,1,0,0
1729641600,Tue Oct 22 20:00:00 2024,COLDF,0.1574,0.1482,0.1574,0.1726,2021-12-01,1,3,1,0,0
